City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Brazzaville,CG,-4.2658,15.2832,88.16,62,40,5.75,scattered clouds
312,Whitianga,NZ,-36.8333,175.7,66.02,98,100,11.63,light rain
313,Nacala,MZ,-14.5428,40.6728,87.12,53,75,3.13,broken clouds
314,Karatau,KZ,43.1667,70.4667,37.58,86,100,37.27,overcast clouds
315,Saldanha,ZA,-33.0117,17.9442,87.85,72,28,11.36,scattered clouds
316,Butaritari,KI,3.0707,172.7902,81.03,78,67,14.97,light rain
317,Ottawa,CA,45.4112,-75.6981,6.67,75,100,8.05,overcast clouds
318,Siavonga,ZM,-16.5382,28.7088,70.09,89,100,2.91,overcast clouds
319,Marzuq,YE,14.4,46.4667,78.01,21,11,6.76,few clouds
320,Namatanai,PG,-3.6667,152.4333,80.37,80,100,3.76,overcast clouds
321,Petukhovo,RU,55.0692,67.9019,6.6,82,87,8.48,overcast clouds
322,Berlevag,NO,70.8578,29.0864,23.58,85,69,23.96,broken clouds
323,Banjar,ID,-8.19,114.9675,80.46,93,100,3.06,overcast clouds
324,Puerto Princesa,PH,9.7392,118.7353,77.97,81,97,6.93,overcast clouds
325,Moussoro,TD,13.6408,16.4901,85.05,8,0,14.79,clear sky
326,Pontianak,ID,-0.0333,109.3333,80.58,88,75,0.0,heavy intensity rain
327,Aksu,CN,41.1231,80.2644,25.3,44,81,4.34,broken clouds
328,Nikolskoye,RU,59.7035,30.7861,33.87,88,100,11.14,overcast clouds
329,Rio Gallegos,AR,-51.6226,-69.2181,64.45,48,0,18.41,clear sky
330,North Bend,US,43.4065,-124.2243,42.93,92,0,0.0,clear sky
331,Doka,SD,13.5167,35.7667,85.23,19,0,13.71,clear sky
332,Roebourne,AU,-20.7833,117.1333,84.63,79,6,14.38,clear sky
333,Olga,RU,43.7444,135.2892,10.13,59,4,12.26,clear sky
334,Katobu,ID,-4.9408,122.5276,76.87,92,42,3.47,scattered clouds
335,Black River,JM,18.0264,-77.8487,75.97,62,4,2.04,clear sky
336,Asosa,ET,10.0667,34.5333,80.82,20,100,6.38,overcast clouds
337,Lebu,CL,-37.6167,-73.65,65.5,60,0,13.47,clear sky
